dataset,k,seed,nmi,ari,acc
texas,3,0,0.2796,0.1872,0.4590
texas,3,1,0.3129,0.2071,0.4590
texas,3,2,0.2427,0.1616,0.4863
texas,3,3,0.2828,0.1466,0.4536
texas,3,4,0.2481,0.1378,0.4645
texas,5,0,0.2909,0.2173,0.5137
texas,5,1,0.2949,0.1939,0.4973
texas,5,2,0.2566,0.1474,0.4973
texas,5,3,0.2776,0.1871,0.4536
texas,5,4,0.2767,0.1918,0.4699
texas,10,0,0.3202,0.2585,0.5355
texas,10,1,0.2886,0.2113,0.4754
texas,10,2,0.2863,0.2293,0.5410
texas,10,3,0.2990,0.2406,0.5191
texas,10,4,0.3135,0.2557,0.5301
texas,15,0,0.2985,0.2058,0.4973
texas,15,1,0.3012,0.1991,0.4863
texas,15,2,0.2787,0.1775,0.5301
texas,15,3,0.2787,0.1775,0.5301
texas,15,4,0.2638,0.1640,0.5191
texas,20,0,0.2721,0.1581,0.5137
texas,20,1,0.2858,0.1734,0.5137
texas,20,2,0.2866,0.1870,0.5246
texas,20,3,0.2762,0.1679,0.5137
texas,20,4,0.3239,0.2105,0.5246
cornell,3,0,0.3278,0.2008,0.4590
cornell,3,1,0.3987,0.2817,0.5191
cornell,3,2,0.3674,0.2315,0.4809
cornell,3,3,0.3639,0.2785,0.5246
cornell,3,4,0.2872,0.1770,0.4426
cornell,5,0,0.4334,0.3219,0.5792
cornell,5,1,0.3962,0.3320,0.5464
cornell,5,2,0.4330,0.3279,0.5628
cornell,5,3,0.4345,0.3295,0.5683
cornell,5,4,0.4575,0.3556,0.5792
cornell,10,0,0.4763,0.3525,0.5956
cornell,10,1,0.4660,0.3676,0.6175
cornell,10,2,0.4670,0.3712,0.6066
cornell,10,3,0.4710,0.3538,0.5956
cornell,10,4,0.4711,0.3691,0.6066
cornell,15,0,0.3900,0.2882,0.5464
cornell,15,1,0.3837,0.2765,0.5355
cornell,15,2,0.4026,0.3381,0.5902
cornell,15,3,0.3622,0.2544,0.5137
cornell,15,4,0.3870,0.2814,0.5355
cornell,20,0,0.4019,0.3370,0.5847
cornell,20,1,0.4452,0.3598,0.6066
cornell,20,2,0.4347,0.3215,0.5792
cornell,20,3,0.4204,0.3329,0.5902
cornell,20,4,0.4107,0.2535,0.5137
wisconsin,3,0,0.4461,0.3339,0.5498
wisconsin,3,1,0.3051,0.1271,0.4343
wisconsin,3,2,0.3354,0.1708,0.4104
wisconsin,3,3,0.2800,0.1397,0.4502
wisconsin,3,4,0.2881,0.1494,0.4303
wisconsin,5,0,0.3909,0.3369,0.5777
wisconsin,5,1,0.3681,0.2878,0.5378
wisconsin,5,2,0.4067,0.2963,0.5418
wisconsin,5,3,0.4137,0.3087,0.5498
wisconsin,5,4,0.3965,0.3043,0.5538
wisconsin,10,0,0.4112,0.3084,0.5936
wisconsin,10,1,0.4112,0.3084,0.5936
wisconsin,10,2,0.4017,0.3021,0.5936
wisconsin,10,3,0.3954,0.2774,0.5139
wisconsin,10,4,0.4087,0.3063,0.5936
wisconsin,15,0,0.4120,0.3313,0.5976
wisconsin,15,1,0.4132,0.3352,0.6016
wisconsin,15,2,0.4132,0.3352,0.6016
wisconsin,15,3,0.4120,0.3313,0.5976
wisconsin,15,4,0.4139,0.3358,0.6056
wisconsin,20,0,0.4149,0.3269,0.6016
wisconsin,20,1,0.4160,0.3413,0.6175
wisconsin,20,2,0.4160,0.3413,0.6175
wisconsin,20,3,0.4211,0.3418,0.6135
wisconsin,20,4,0.4160,0.3413,0.6175
